Latitude,Longitude,Rainfall,MaxTemp,MinTemp
11.0,79.75,0.0,29.553915,22.339361
11.25,75.75,0.0,29.640583,17.8523
11.25,76.0,0.0,29.640583,17.8523
11.25,76.25,0.0,28.460457,16.502714
11.25,76.5,0.0,28.460457,16.502714
11.25,76.75,0.0,28.460457,16.502714
11.25,77.0,0.0,28.460457,16.502714
11.25,77.25,0.0,27.32395,15.617114
11.25,77.5,0.0,27.32395,15.617114
11.25,77.75,0.0,27.32395,15.617114
11.25,78.0,0.0,27.32395,15.617114
11.25,78.25,0.0,30.028908,20.331842
11.25,78.5,0.0,30.028908,20.331842
11.25,78.75,0.0,30.028908,20.331842
11.25,79.0,0.0,30.028908,20.331842
11.25,79.25,0.0,29.840021,22.307745
11.25,79.5,0.0,29.840021,22.307745
11.25,79.75,0.0,29.840021,22.307745
11.5,75.5,0.0,29.640583,17.8523
11.5,75.75,0.0,29.640583,17.8523
11.5,76.0,0.0,29.640583,17.8523
11.5,76.25,0.0,28.460457,16.502714
11.5,76.5,0.0,28.460457,16.502714
11.5,76.75,0.0,28.460457,16.502714
11.5,77.0,0.0,28.460457,16.502714
11.5,77.25,0.0,27.32395,15.617114
11.5,77.5,0.0,27.32395,15.617114
11.5,77.75,0.0,27.32395,15.617114
11.5,78.0,0.0,27.32395,15.617114
11.5,78.25,0.0,30.028908,20.331842
11.5,78.5,0.0,30.028908,20.331842
11.5,78.75,0.0,30.028908,20.331842
11.5,79.0,0.0,30.028908,20.331842
11.5,79.25,0.0,29.840021,22.307745
11.5,79.5,0.0,29.840021,22.307745
11.5,79.75,0.0,29.840021,22.307745
11.75,75.25,0.0,29.640583,17.8523
11.75,75.5,0.0,29.640583,17.8523
11.75,75.75,0.0,29.640583,17.8523
11.75,76.0,0.0,29.640583,17.8523
11.75,76.25,0.0,28.460457,16.502714
11.75,76.5,0.0,28.460457,16.502714
11.75,76.75,0.0,28.460457,16.502714
11.75,77.0,0.0,28.460457,16.502714
11.75,77.25,0.0,27.32395,15.617114
11.75,77.5,0.0,27.32395,15.617114
11.75,77.75,0.0,27.32395,15.617114
11.75,78.0,0.0,27.32395,15.617114
11.75,78.25,0.0,30.028908,20.331842
11.75,78.5,0.0,30.028908,20.331842
11.75,78.75,0.0,30.028908,20.331842
11.75,79.0,0.0,30.028908,20.331842
